"","merged.pos","mean.1A","mean.1B","mean.3A","mean.tvs.1A","mean.tvs.1B","mean.tvs.3A","mean.all.1A","mean.all.1B","mean.all.3A","depth.1A","depth.1B","depth.3A"
"53",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"56",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"57",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"58",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"60",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"61",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"62",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"63",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"65",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"68",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"69",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"73",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"75",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"77",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"85",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"86",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"87",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"90",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"91",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"94",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"95",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"96",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"97",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"98",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"99",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"100",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"101",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"102",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"104",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"106",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"113",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"116",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"127",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"129",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"130",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"131",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"133",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"134",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"135",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"136",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"137",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"138",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"139",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"140",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"141",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"142",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"143",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"144",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",146,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"147",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"151",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"152",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"154",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"155",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"156",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"157",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"158",158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"159",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"160",160,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"161",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"162",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"163",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"164",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"165",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"166",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"167",167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"168",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"169",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"170",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"171",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"172",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"173",173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"174",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"175",175,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"176",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"177",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"178",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"179",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"180",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"181",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"182",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"183",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"184",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"185",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"186",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"187",187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"188",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"189",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"190",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"191",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"192",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"193",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"194",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"195",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"196",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"197",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"198",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"199",199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"200",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"201",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"202",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"203",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"204",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"205",205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"206",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"207",207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"208",208,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"209",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"210",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"211",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"212",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"213",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"214",214,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"215",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"216",216,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"217",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"218",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"219",219,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"220",220,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"221",221,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"222",222,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"223",223,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"224",224,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"225",225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"226",226,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"227",227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"228",228,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"229",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"230",230,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"231",231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"232",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"233",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"234",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"235",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"237",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"238",238,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"239",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"240",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"241",241,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"242",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"243",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"244",244,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"245",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"246",246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"247",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"248",248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"249",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"250",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"251",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"252",252,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"253",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"254",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"255",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"256",256,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"257",257,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"258",258,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"259",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"260",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"261",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"262",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"263",263,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"264",264,0.0243094103891371,NA,0.0169518899038274,0.0320547642498179,NA,0.0470482953859249,0.056364174638955,NA,0.0640001852897523,764709,12740,204060
"265",265,0.00165304629061191,NA,0.00132922562690557,0.00941928210846272,NA,0.00823359283960066,0.0110723283990746,NA,0.00956281846650623,1159760,57259,269108
"266",266,5.29521736046177e-05,NA,0.000104346808418177,8.67180010239751e-05,NA,7.39839518064767e-05,0.000139670174628593,NA,0.000178330760224654,1406524,78606,339097
"267",267,8.93916756226768e-05,NA,0.000102214568471663,0.000128015891265049,NA,7.31871845929263e-05,0.000217407566887726,NA,0.000175401753064589,1417987,79845,344037
"268",268,6.92288566164533e-05,NA,0.00010771519852568,9.92233896646524e-05,NA,9.94524436360354e-05,0.000168452246281106,NA,0.000207167642161716,1433086,81789,348148
"269",269,0.000549250103735782,NA,0.000500049317645928,0.000101112193143095,NA,0.00108321090818537,0.000650362296878877,NA,0.0015832602258313,1441273,84152,350507
"270",270,0.000867866068158153,NA,0.00176423893239882,0.000629581268795266,NA,0.000267431259677177,0.00149744733695342,NA,0.002031670192076,1455910,85255,355016
"271",271,0.000903816875195108,NA,0.00100230351748899,0.00029787237301164,NA,0.000245525936136258,0.00120168924820675,NA,0.00124782945362525,1468758,86821,357549
"272",272,0.00167713215387648,NA,0.000935544936211238,0.000244120488436539,NA,0.000196129814761516,0.00192125264231302,NA,0.00113167475097275,1475178,87471,359122
"273",273,0.000654372203565953,NA,0.000597020598966974,0.000361828797914156,NA,0.000335704083581033,0.00101620100148011,NA,0.000932724682548007,1487404,88299,361966
"274",274,0.000667275774580401,NA,0.000728444733529241,0.000217105717863108,NA,0.000196162186682883,0.000884381492443509,NA,0.000924606920212125,1488966,88446,362669
"275",275,0.00065739055008472,NA,0.000603821764766963,0.000189007263635482,NA,0.000116911388868939,0.000846397813720203,NA,0.000720733153635902,1503517,89482,366521
"276",276,0.00124305609851642,NA,0.000818547753263707,0.000271386371393463,NA,0.00019002026808568,0.00151444246990988,NA,0.00100856802134939,1512195,90440,368678
"277",277,0.000323393730471419,NA,0.00022269889755086,0.000352337417782234,NA,0.000154456011059738,0.000675731148253654,NA,0.000377154908610598,1519583,91398,370245
"278",278,0.000447397143330523,NA,0.000449113516126503,0.000303527760324802,NA,0.000186501771115387,0.000750924903655325,NA,0.00063561528724189,1533410,92419,372897
"279",279,0.000935489624000089,NA,0.000835931219203562,0.000335519050789612,NA,0.000237445081793053,0.0012710086747897,NA,0.00107337630099662,1538018,93161,373923
"280",280,0.000886161717769969,NA,0.000526930112596481,0.00102892656536329,NA,0.000632717368817366,0.00191508828313326,NA,0.00115964748141385,1557720,94729,377605
"281",281,0.000819983944169625,NA,0.000679253875660854,0.000288409387194231,NA,0.000147150623433756,0.00110839333136386,NA,0.000826404499094609,1588207,97280,383040
"282",282,0.000941005283099715,NA,0.000642617419477884,0.000258639034649087,NA,0.000156302691233421,0.0011996443177488,NA,0.000798920110711304,1603783,99786,386768
"283",283,0.000469306507902466,NA,0.000408186006936104,0.000304357768444556,NA,0.000523756580332526,0.000773664276347022,NA,0.000931942587268631,1629164,103387,393531
"284",284,0.00375190253018723,NA,0.000644731849141305,0.0018912188209981,NA,0.000444928905226144,0.00564312135118532,NA,0.00108966075436745,1640041,104177,395095
"285",285,0.0332840733660979,NA,0.0331085862586122,0.0193231347563797,NA,0.00723796669645599,0.0526072081224775,NA,0.0403465529550682,1703668,108275,396164
"286",286,0.000913585364695527,0.000753752132001444,0.000600131279346042,0.000214597889036015,0.000129318041821129,0.000179649454142625,0.00112818325373154,0.000883070173822575,0.000779780733488667,2324801,184479,425344
"287",287,0.000638225246097728,0.000716900611375742,0.000882494038581535,0.000298002641084387,0.000453727528681527,0.00040558646158556,0.000936227887182115,0.00117062814005727,0.00128808050016709,2363746,185007,430968
"288",288,0.000385291822743146,0.00010148893300288,0.000718796584272046,0.000213058179458096,9.16371723119891e-05,0.00032487444705816,0.000598350002201241,0.00019312610531487,0.00104367103133021,2384100,185837,435957
"289",289,0.000504155181408739,0.000417060241700135,0.00052750578176094,0.000343034848332987,0.000461338919080013,0.00037799539669798,0.000847190029741726,0.000878399160780148,0.00090550117845892,2394812,186067,438195
"290",290,0.0006673919199078,0.000455568009629101,0.000657841210911786,0.000233369596487594,0.00032459489172724,0.000242378509296907,0.000900761516395394,0.000780162901356338,0.000900219720208693,2404184,186418,440675
"291",291,0.000456985068889333,0.000358451037036074,0.000557016844153219,0.00025980453719745,0.000371239352828174,0.00025491570240674,0.000716789606086783,0.000729690389864249,0.000811932546559958,2431595,187303,446836
"292",292,0.000650568108322296,0.000617828682140969,0.0008783966837571,0.000189294647504702,0.000129566001835713,0.000304971453391634,0.000839862755826998,0.000747394683976682,0.00118336813714873,2431528,187295,447233
"293",293,0.000592148263366186,0.000356170092099431,0.000592740211322731,0.000670258786455336,0.000472324945768401,0.000778310717674207,0.00126240704982152,0.000828495037867833,0.00137105092899694,2357101,187292,437810
"294",294,0.00933634338811822,0.0177481252386876,0.00542772321977749,0.0117588915697939,0.00500533900144951,0.00782346153453451,0.0210952349579121,0.0227534642401371,0.013251184754312,2004408,182155,397791
"295",295,0.00296778388026298,NA,0.00225145080875728,0.00991808605337015,NA,0.00338179194636737,0.0128858699336331,NA,0.00563324275512465,1743599,175215,354461
"296",296,0.00435564802732639,NA,0.011190390395455,0.000765608418387447,NA,0.00173824978076598,0.00512125644571384,NA,0.0129286401762209,1626190,171416,335530
"297",297,0.000997921848158767,NA,0.00161915347067742,0.000949436129935917,NA,0.00152962075818569,0.00194735797809468,NA,0.00314877422886311,1596696,168678,323049
"298",298,0.000781662991158236,0.000287661035559221,0.00079071432685135,0.000441134150043237,0.0007019265513734,0.000990428802413588,0.00122279714120147,0.000989587586932622,0.00178114312926494,1616878,172745,333123
"299",299,0.00099063474572473,0.000853812133960771,0.00110171923016283,0.00170014335659439,0.00160463488722625,0.00176625660355107,0.00269077810231911,0.00245844702118702,0.0028679758337139,1612194,171941,332371
"300",300,0.000925190954863,0.000945015759099273,0.000739850093840167,0.0013785249242635,0.00219526963824179,0.00323380302417625,0.0023037158791265,0.00314028539734106,0.00397365311801642,1607740,172087,328962
"301",301,0.000820076323861006,0.000628341246072618,0.000737421162044654,0.000345079853733269,0.000582140905057682,0.000555966863420373,0.00116515617759428,0.0012104821511303,0.00129338802546503,1608306,171815,327657
"302",302,0.000964185728212722,0.0010057684002807,0.00103073547760567,0.000298303843922232,0.000405952055269551,0.000350255441661102,0.00126248957213495,0.00141172045555025,0.00138099091926677,1589248,170650,319690
"303",303,0.00064253508189379,0.000391096046036072,0.000703066872270985,0.000354256677712794,0.000529700739172371,0.000479941721545716,0.000996791759606584,0.000920796785208443,0.0011830085938167,1574297,169419,313659
"304",304,0.000817133555917132,0.00123975312846917,0.000761698048011228,0.000437717564730479,0.00066502033561546,0.000515972846110952,0.00125485112064761,0.00190477346408463,0.00127767089412218,1572205,169577,312618
"305",305,0.000979320987015146,0.00119083390133675,0.00110201684726381,0.000265300490879157,0.000201750781888587,0.000309597162515645,0.0012446214778943,0.00139258468322534,0.00141161400977946,1589988,170317,319253
"306",306,0.00100291747892672,0.000713511321988678,0.000849222489198878,0.000510115328246861,0.000438314683627606,0.000261305155978029,0.00151303280717358,0.00115182600561628,0.00111052764517691,1600074,172012,321784
"307",307,0.000520581597467024,0.000290879869487582,0.000472991439251753,0.000474687789100645,0.000707365295566967,0.000766127724934182,0.000995269386567669,0.000998245165054549,0.00123911916418594,1592919,170816,319185
